"","Date","Header"
"277",2017-07-13,"TSMC's Sales Forecast Misses Estimates Despite iPhone Boost (1)"
"278",2017-07-13,"Worldwide PC Shipments Fell 4.3% Y/y in 2Q, Says Gartner"
"279",2017-07-15,"Apple Is Said to Buy Equipment to Aid Suppliers: Korea Herald"
"280",2017-07-19,"Apple Appoints New China Head as Sales in its No.2 Market Slide"
"281",2017-07-19,"Apple's IPhone Manufacturers Join Legal Counter Against Qualcomm"
"282",2017-07-20,"Apple Is Said to Work on Car Battery With Chinese Co.: Bus. News"
"283",2017-07-20,"Prediction: Apple Predictions Will Be Very Wrong Again: Gadfly
Forecasting sales 14 months in advance for a phone no one has seen is pure folly."
"284",2017-07-20,"Taiwan Export Orders Beat All Forecasts as New IPhone Approaches"
"285",2017-07-22,"Ireland to Hire Custodian to Manage Cash From Apple Tax Case"
"286",2017-07-23,"Ireland Seeks Custodian for Apple Cash as Collection Nears (1)"
"287",2017-07-24,"Apple Sets Up OLED R&D Center in Taiwan, Commercial Times Says"
"288",2017-07-24,"TSMC to Deliver Chips for New iPhone This Week: Economic Daily"
"289",2017-07-26,"Laurene Powell Jobs Leads Funding Round in Virtual-Reality Firm"
"290",2017-07-26,"Trump Says Apple Will Build U.S. Plants. It Won't: Shira Ovide
The business press should know by now that the president is not a reliable source. Investors figured that out."
"291",2017-07-26,"Trump to Announce Apple Supplier Foxconn Opening Wisconsin Plant"
"292",2017-07-27,"Europe's Apple Suppliers Bullish on Demand for New Smartphones"
"293",2017-07-27,"Nokia Earnings Beat Estimates on Apple Deal, Cost Reductions"
"294",2017-07-28,"Apple Abandons Cheapest IPods in Step Toward Eventual Oblivion"
"295",2017-07-28,"Apple Is Said to Pay 3t Won to LG Display for OLED: Daily"
"296",2017-07-28,"Apple May Skirt IPhone Tariffs as Foxconn Comes to the U.S. (2)"
"297",2017-07-29,"Laurene Powell Jobs Acquires Majority Stake in the Atlantic (2)"
"298",2017-07-30,"Apple Removes VPN Apps in China Not Compliant With Local Rules"
"299",2017-07-30,"U.S. Jobs, BOE Policy, Apple Earnings: Week Ahead July 31-Aug. 5"
"300",2017-07-31,"Apple Battles Trademark Sleuths Bent on Revealing Gadget Names
For years, self-styled gumshoes have unearthed the names of soon-to-launch gadgets by searching trademark
offices from Jamaica to Trinidad. Then that got a lot harder."
"301",2017-07-31,"Apple Says Looking at Australia Solar, Wind Project Stakes: AFR"
"302",2017-07-31,"Spotify Is Coming After Apple With a New Podcast Initiative"
"303",2017-07-31,"Two Sides to Apple's Story in Battle to Save China Sales: Gadfly
Choose your own adventure:"
"304",2017-08-01,"Apple, Google Drop Trading Apps After Australian Intervention"
"305",2017-08-02,"An IPhone Supplier's Shares Soar. This Is Great, Right?: Gadfly
AMS shows we should be careful about chipmaker euphoria."
"306",2017-08-02,"Apple FY4Q Rev. View Midpoint Tops Est; Gross Margin View Trails"
"307",2017-08-02,"Apple to Hit Record High as IPhone Delay Fears Fade: Street Wrap"
"308",2017-08-02,"Apple's Forecast Signals Strong Sales of New IPhones This Year"
"309",2017-08-02,"Apple's IPhone Optimism Puts Cook on Path to Hit Top Pay Target"
"310",2017-08-02,"Don't Be Too Hard on Apple for Bending to China: Tyler Cowen
By acceding to censorship now, the company and others like it will have the opportunity to fight another day."
"311",2017-08-02,"Here's What Wall Street Is Saying About Apple's Earnings"
"312",2017-08-02,"Shares in Tokyo Rise as Apple Suppliers, Automakers Advance"
"313",2017-08-02,"Trump Says Foxconn Could Triple Investment to $30 Billion (1)"
"314",2017-08-03,"Apple Lifts Dow to 22k in Mixed Day; Dollar Falls: Markets Wrap"
"315",2017-08-03,"Battle of Tech Stock Titans Sees Apple Rally, Samsung Slump"
"316",2017-08-05,"Apple Is Said to Prep Watch That Reduces Reliance on IPhone (2)"
"317",2017-08-07,"France and Germany Plan Crackdown on Tax Loopholes Used by Apple"
"318",2017-08-11,"American Students Should Be Taught How to Code: Editorial
But it can't be done on the cheap."
"319",2017-08-11,"Apple Said Close to Deal Protecting Ireland in EU Tax Fight"
"320",2017-08-11,"Venezuelan Currency Madness Valued Local Bank More Than Apple"
"321",2017-08-14,"Hon Hai Shares Slide After Profit Miss Ahead of New iPhone"
"322",2017-08-15,"Apple Plans First Canada-Dollar Bond to Reward Shareholders (1)"
"323",2017-08-15,"Fans of Apple Inc. watched in delight as shares soared 38 percent this year. But compared with China’s tech
heavyweights the iPhone maker is a wimp. Alibaba Group Holding Ltd. is up twice as much -- 76 percent -- while
Tencent Holdings Ltd., which like Alibaba is due to release results this week, has risen 71 percent. During July,
Apple was outpaced by its key manufacturing partner, Taiwan’s Hon Hai Precision Industry Co., better known by
the trade name Foxconn."
"324",2017-08-15,"Google Hires Former Star Apple Engineer for Its AI Team"
"325",2017-08-15,"Hedge Funds Break Up With Long-Adored Apple and Facebook Shares"
"326",2017-08-17,"Apple Said to Plan $1 Billion Investment in TV Shows and Films"
"327",2017-08-17,"Kering's Ulysse Nardin Taps Former Apple Watch Executive For CEO"
"328",2017-08-18,"Apple's IPhone Gives Little-Known Suppliers Long-Awaited Payday"
"329",2017-08-18,"Hollywood, Apple Are Said to Mull Rental Plan, Defying Theaters"
"330",2017-08-18,"Hollywood, Apple Said to Mull Rental Plan, Defying Theaters (2)"
"331",2017-08-18,"New IPhone Tests a Wireless Industry Scarred by Price Wars"
"332",2017-08-19,"Apple, Hollywood May Defy Theaters With Rental Plan (Video)"
"333",2017-08-23,"Source: Bloomberg"
"334",2017-08-25,"Apple Is Said to Plan 4K TV Box Reveal in New Living Room Push"
"335",2017-08-25,"Yawn. Not Another Fawning Technology Product Event: Gadfly
Let's try something different for a change."
"336",2017-08-27,"French Fin. Min. Affirms Aim With Germany to Tax Internet Cos."
"337",2017-08-28,"Apple Said to Hold Product Launch Event Sept. 12: WSJ"
"338",2017-08-29,"Google Delivers an Answer to Apple on Augmented Reality"
"339",2017-08-29,"How a Crisis Almost Derailed the Original iPhone
A decade after Apple launched the original iPhone and transformed the computing industry we'll discuss what
next month's iPhone 8 unveiling has in store."
"340",2017-08-29,"Tim Cook Reaps $89.2 Million Stock Award as Apple Outshines S&P"
"341",2017-08-30,"Apple Bond Sends Canadian Corporate Issuance to Brink of Record"
"342",2017-08-30,"As robust as the gain in Apple Inc.’s shares has been this year, analysts have been moving even faster to increase
their price forecasts. At last count, their average estimate was more than $174, implying about a 7 percent gain
from Tuesday’s record trading price. This year’s 40 percent advance is gaining momentum before the expected
release next month of new products, including three new iPhone models."
"343",2017-08-30,"Apple Is Said in Talks With Bain for Toshiba Chips Business"
"344",2017-08-30,"China Regulator Is Said to Review Apple Antitrust Complaint"
"345",2017-08-30,"How Apple Plans to Change the Way You Use the Next iPhone
Premium device is said to come with new gesture controls to replace home button, taller screen with rounded
corners."
"346",2017-08-30,"Tim Cook Sure Is Selling Apple Stock at a Weird Time: Gadfly
Wall Street thinks the new iPhone will be a big hit; the CEO sends a conflicting signal."
"347",2017-08-31,"Group of 17 Apple Auto Engineers Is Said to Join Car Firm Zoox"
"348",2017-09-01,"Apple Balks at Higher Web-Access Fees After $1 Billion Video Bet"
"349",2017-09-05,"Apple Returns to Debt Market to Fund Share Buybacks, Dividends"
"350",2017-09-05,"NEW DEAL: Apple Inc. $Benchmark 2y Fxd/FRN, 5y, 10y, 30y"
"351",2017-09-06,"Apple's Other Big Reveal on Sept. 12: Fully Charged"
"352",2017-09-06,"T-Mobile Sweetens Plan With Free Netflix Ahead of New IPhone"
"353",2017-09-08,"A Tiny Welsh Chipmaker Is Up 300% on Apple Speculation (1)"
"354",2017-09-09,"Qualcomm Loses Bid to Force Royalties From Apple Contractors (2)"
"355",2017-09-10,"Apple's New Phone to Be Called `iPhone X,' Code Leaks Show (1)"
"356",2017-09-12,"How to Follow Our Apple Coverage Today: Fully Charged
(Bloomberg) -- 
Technology. Over the next 12 hours or so, we'll bring you non-stop coverage of the new iPhones, Apple Watches,
and other gadgets that Apple Inc. is set to roll out, starting 10 a.m. PT/1 p.m. ET."
"357",2017-09-12,"Stocks to Watch During Apple's IPhone Unveiling Event Today"
"358",2017-09-13,"Apple Bets on Augmented Reality to Sell Its Most Expensive Phone"
"359",2017-09-13,"Apple Is Said to Warn Ireland Delays Threaten $1 Billion Project"
"360",2017-09-13,"Apple Unveils IPhone X With Edge-to-Edge Display as Rivals Grow"
"361",2017-09-13,"Apple's Real Advantage: What's Inside the New IPhones and Watch"
"362",2017-09-13,"AT&T Opens IPhone Price War With Buy-One-Get-One-Free Offer"
"363",2017-09-13,"Here's What Analysts Are Saying About Apple's New Products"
"364",2017-09-13,"IPhone X Removes Home Button But Adds Face ID Unlocking"
"365",2017-09-14,"Apple Is Said to Discuss $3 Billion Stake in Bain Chip Bid (3)"
"366",2017-09-18,"Sprint Ups Ante as First to Offer a Free IPhone With Trade-In"
"367",2017-09-20,"Apple IPhone 8 Orders Are Weaker Than Earlier Models: Rosenblatt"
"368",2017-09-20,"Apple Likes the Patent `Death Squad.' Allergan Pays to Avoid It"
"369",2017-09-20,"Thanks to Apple, 50-Year-Old Facial Recognition Goes Mainstream"
"370",2017-09-21,"Apple Falls as Analyst Report Indicates Weak IPhone 8 Demand"
"371",2017-09-21,"Apple Suppliers Fall; Rosenblatt Says IPhone 8 Pre-Orders Weak"
"372",2017-09-21,"Apple's Watch Should Be a Bigger Deal for Swiss Makers: Gadfly (Correct)
Swatch and Richemont need to take the newfangled timepieces seriously."
"373",2017-09-22,"What Wall Street's Saying About Apple as New IPhones Hit Shelves"
"374",2017-09-25,"IPhone Disappointment Hammers Suppliers, Fuels Taiwan Outflows"
"375",2017-09-26,"KKR Said to Be Wooing Apple to Switch Sides in Toshiba Bid"
"376",2017-09-26,"Large-Cap Tech Stocks Sink Amid 'Risk Off,' Apple Fears: Traders"
"377",2017-09-27,"Apple Is Said to Hit Another Production Snag on iPhone X: WSJ"
"378",2017-09-27,"Coatue Returns 26% as Fund Boosts Stake in Apple, Hails IPhone"
"379",2017-09-28,"Amazon Girds for Rivals Apple, Google in Home Devices Push (1)"
"380",2017-09-28,"Apple IPhone X Reported Facing Delays Due to 3-D Sensors (1)"
"381",2017-09-28,"Apple Urged to Activate IPhone's FM Radio Chip After Hurricanes"
"382",2017-09-28,"Toshiba Inks $18 Billion Deal to Sell Chip Arm to Bain Group (2)"
"383",2017-09-29,"Sun Co-Founder Sells Secretive Hedge Fund on Radical Chip Trade"
"384",2017-10-02,"Trump Plan Aims New Foreign Tax at Apple, Other Multinationals"
"385",2017-10-03,"Irish Said to Face Rebuke for Slow Recovery of Apple Cash (2)"
"386",2017-10-04,"Amazon Hit With $294 Million Bill as EU Sues Irish on Apple Tax"
"387",2017-10-04,"Apple and Qualcomm’s Billion-Dollar War Over an $18 Part
The iPhone maker pays $2 billion a year in patent fees, and it’s had enough."
"388",2017-10-04,"Apple and Qualcomm’s Billion-Dollar War Over an $18 Part
The iPhone maker pays $2 billion a year in patent fees, and it’s had enough."
"389",2017-10-04,"EU Crackdown on Amazon and Apple Feeds U.S. Tax-Overhaul Urgency"
"390",2017-10-04,"EU Sues Ireland Over Apple Billions as Tax Tensions Flare Up"
"391",2017-10-04,"EU to Sue Ireland for Failing to Collect EU13B Apple Tax Bill"
"392",2017-10-05,"Google CEO Sets `AI-First' Device Blueprint to Catch Apple (1)"
"393",2017-10-06,"Apple Hires Honeywell's Adams to Replace Sewell as Top Lawyer"
"394",2017-10-06,"Apple's Looking Into Reports of Swollen iPhone 8 Batteries"
"395",2017-10-07,"Apple Investigates Reports of IPhone 8 'Swelling' (Video)"
"396",2017-10-09,"A Modified FANG Basket Looks Ready to Surge, MKM's Krinsky Says"
"397",2017-10-09,"Apple's Cook in Paris to Meet Macron Amid Calls for Tech Taxes"
"398",2017-10-10,"Apple Appeal on App Lawsuit Draws U.S. Supreme Court Query"
"399",2017-10-11,"Apple Poised to Release Spielberg Series in Bigger Move Into TV"
"400",2017-10-13,"Apple, Disney Canadian Bond Debuts Said Sparked by Local Demand"
"401",2017-10-13,"Next Apple, Amazon May Get Startup Boost From Homeland Security"
"402",2017-10-14,"Barclays CEO Says Bank Must Ward Off Apple, Amazon in Payments"
"403",2017-10-14,"Qualcomm Seeks China IPhone Ban, Escalating Apple Legal Fight"
"404",2017-10-18,"GE Joins With Apple to Make Industrial Apps for Mobile Devices"
"405",2017-10-18,"Qualcomm's Apple Suit to Play Out in Specialist Beijing Court"
"406",2017-10-19,"Apple Cuts Supplier Orders for IPhone 8 as Sales Miss: EDN"
"407",2017-10-19,"Apple Drops 1.3% Pre-Mkt on Report of Order Cuts To Suppliers"
"408",2017-10-19,"Apple Needs Its 'Other' New iPhone to Be a Hit, Too: Gadfly
Data keep pointing to soft early demand for the iPhone 8."
"409",2017-10-19,"Apple Suppliers Fall After Report of Lower iPhone 8 Orders"
"410",2017-10-19,"Taiwan Apple Suppliers Fall After Report of IPhone 8 Order Cuts"
"411",2017-10-24,"AMS Outlook Smashes Apple Concerns, Boosting Peers: Street Wrap"
"412",2017-10-24,"IPhone X Shipments to Be Half of Forecast, Nikkei Reports (1)"
"413",2017-10-24,"Macron Has Some Tough Questions for Irish Leader on Taxing Apple"
"414",2017-10-25,"Apple’s Billion-Dollar Bet on Hollywood Is the Opposite of Edgy
A conservative corporation takes its first steps into a new industry."
"415",2017-10-25,"Inside Apple’s Struggle to Get the iPhone X to Market on Time
The company let suppliers reduce accuracy of the phone’s Face ID system to speed up production."
"416",2017-10-26,"Inside Apple’s Struggle to Get iPhone X to Market on Time (1)
The company let suppliers reduce accuracy of the phone’s Face ID system to speed up production."
"417",2017-10-27,"Apple Heads Into Crucial Pre-Order Period for Flagship IPhone X"
"418",2017-10-27,"Apple iPhone X ``Currently Unavailable'' From Hong Kong Store"
"419",2017-10-27,"IPhone X Wait Times Rise as Apple Device Sells Out in Hong Kong"
"420",2017-10-27,"U.S. Recognizes Need for Apple iPhone-Like Facial Recognition"
"421",2017-10-28,"Best Buy Is Charging an Extra $100 for Full-Price IPhone X"
"422",2017-10-31,"Amazon Teaches Alexa to Speak Hinglish. Apple's Siri Is Next"
"423",2017-10-31,"Apple Can't Make Qualcomm's Dreadful Year Much Worse: Gadfly
The iPhone maker is rapidly becoming the past, not the uncertain future."
"424",2017-10-31,"Apple Is Said to Design iPhones, iPads Without Qualcomm Parts"
"425",2017-10-31,"Xi Tells Zuckerberg and Cook China Set for Unprecedented Reform"
"426",2017-11-01,"Apple Inc. is designing iPhones and iPads for 2018 that don’t use components from Qualcomm Inc. amid an
escalating dispute between the companies, according to a person familiar with the matter. Apple accounted for
more than eleven percent of the chipmaker’s sales in 2016, filings from Qualcomm and Hon Hai Precision Industry
Co. show. Hon Hai Precision is Apple’s largest supplier and Qualcomm’s biggest customer."
"427",2017-11-01,"Best Buy Stops Some Sales of New IPhones After Pricing Backlash"
"428",2017-11-02,"Five Things Wall Street Wants to See in Apple's Earnings Report"
"429",2017-11-02,"Qualcomm Chip Business Stays Strong in Midst of Apple Fight (1)"
"430",2017-11-03,"Apple Among Giants Due for Overseas Tax Bill Under House Plan"
"431",2017-11-03,"Apple Earnings Are a Rorschach Test With an X Factor: Gadfly
Optimism will battle pessimism until sales of the new iPhone become clear."
"432",2017-11-03,"Apple Gains as 1Q Rev. View Midpoint Tops Est; iPhone Units Beat"
"433",2017-11-03,"Apple Holiday Sales Projection Tops Estimates on iPhone X Demand"
"434",2017-11-03,"Apple Value Touches $900 Billion as IPhone Demand Boosts Stock"
"435",2017-11-03,"Apple's Asia Suppliers Rise on Forecast of Strong Holiday Sales"
"436",2017-11-03,"Apple's Schiller Gives $25 Million for New Boston College Center"
"437",2017-11-03,"Here's What Wall Street Is Saying About Apple's Earnings Report"
"438",2017-11-03,"Long Lines Are Back at Apple Retail Stores for the IPhone X (4)"
"439",2017-11-03,"Tax Bill Takes Extra Bite of Apple and Other Global Companies"
"440",2017-11-04,"Here Are the Suppliers Powering Apple's Flagship IPhone X"
"441",2017-11-04,"Some IPhone X Users Say They Can't Activate Their New Devices"
"442",2017-11-06,"Apple Said to Sell Debt to Help Fund $300 Billion Capital Return"
"443",2017-11-06,"NEW DEAL: Apple Inc. $Bmark 2Y, 3Y, 5Y, 7Y, 10Y, 30Y - All FXD"
"444",2017-11-07,"The Comeback in China Tim Cook Called Out Probably Won't Last"
"445",2017-11-07,"Walmart Pay Threatens to Surpass Apple in U.S. Mobile Payments"
"446",2017-11-07,"Why Apple Should Take the Plunge and Buy Netflix: Barry Ritholtz
Imagine an all-stock deal valued at $100 billion. Beating Amazon to the punch is worth the price."
"447",2017-11-08,"Apple Is Said to Ramp Up Work on Augmented Reality Headset"
"448",2017-11-08,"Apple's IPhone X Parts Cost $115 More Than IPhone 8, IHS Says"
"449",2017-11-08,"$1 Billion Apple Dream Fades for Irish Villagers Left on Hold"
"450",2017-11-08,"IPhone Markups Shrink in China's Gray Market, Squeezing Dealers"
"451",2017-11-09,"Apple Is Said to Plan 2018 IPad Redesign With Facial Recognition"
"452",2017-11-09,"Apple Outbids Netflix for Aniston-Witherspoon Show on Morning TV"
"453",2017-11-09,"Wal-Mart, Starbucks Outdo Apple, Google in Mobile Pay: Gadfly
In customer uptake, retailers have succeeded where tech giants have struggled."
"454",2017-11-13,"Owning Apple Inc. for the two months following a “super cycle” product launch proved once again to be
profitable for investors. After a slow start, the stock has outperformed the Nasdaq Composite Index by 3.4 percent
since the Sept. 12 unveiling of iPhone models 8 and X. A similar pattern was seen in the 2014 move to the iPhone
6 from the 5, when analysts anticipated strong demand for upgrades and shares beat the market by 9.5 percent in
the following 60 days."
"455",2017-11-14,"Apple Is Said to Target Rear-Facing 3-D Sensor for 2019 IPhone"
"456",2017-11-14,"Hon Hai Posts Surprise Profit Fall Amid Delays in the iPhone X"
"457",2017-11-15,"Buffett Adds More Apple, Reduces IBM Stake by Another Third (1)"
"458",2017-11-15,"Killed by the Apple Watch, Fitbug Maker Laments U.K. Funding Gap"
"459",2017-11-17,"Apple Diversity Chief to Leave Months After Taking the Role"
"460",2017-11-17,"Tesla Truck Could Threaten Big Chunk of Oil Demand, If It Works"
"461",2017-11-18,"Apple Delays HomePod Smart Speaker, Missing Holiday Season (1)"
"462",2017-11-21,"Why Apple's HomePod Is Three Years Behind Amazon's Echo (2)
The Apple speaker started as a side project, was cancelled and revived several times and can’t do as many
things as the Echo."
"463",2017-11-21,"Why Apple’s HomePod Is Three Years Behind Amazon’s Echo
The Apple speaker started as a side project, was cancelled and revived several times and can’t do as many
things as the Echo."
"464",2017-11-22,"Apple Finds Foxconn Interns Worked Illegal Overtime on IPhone X"
"465",2017-11-22,"Microsoft's Skype Disappears From Apple, App Stores in China (1)"
"466",2017-11-22,"Why Apple and Ireland Are Finally Starting to Fall Out of Love"
"467",2017-11-29,"Apple Hopes for a Little Revisionist Valuation History: Gadfly
The introduction of innovative iPhones bodes well for sales but not always the stock price."
"468",2017-11-29,"Apple Mac Software Has Login Flaw That Puts Data at Risk (1)"
"469",2017-11-29,"What Happens If We Tame Google, Facebook, Amazon and Apple?
There hasn’t been a concerted effort to stop the runaway tech giants—yet. Would today’s laws even be up to the
challenge?"
"470",2017-11-30,"Apple Supplier Dialog Falls on Report of Shift to In-House Chip"
"471",2017-11-30,"Dialog Semiconductor Falls After Report Apple to Use Own Chips"
"472",2017-11-30,"Google Sued Over Privacy on Behalf of 5 Million IPhone Users (1)"
"473",2017-12-01,"Apple Supplier Dialog Falls on Report of In-House Chip Move (1)"
"474",2017-12-01,"Nest, iPod Creator Fadell Backs His First Cybersecurity Startup"
"475",2017-12-03,"BARRON'S ROUNDUP: Bitcoin, Meet Goldman; Apple Tax Cut; CIT Buy"
"476",2017-12-03,"Internet Must Have Security, Humanity, Apple CEO Tells China (1)"
"477",2017-12-04,"Apple, Ireland Agree Terms on Principles of Tax Escrow Account"
"478",2017-12-04,"Apple Supplier Dialog Plummets Again on Power Chip Warning (1)"
"479",2017-12-04,"Three New IPhones to Drive 22% Unit Growth in 2018, Nomura Says"
"480",2017-12-05,"Mi Pad or Yours? EU Court Backs Apple in Clash With Xiaomi"
"481",2017-12-07,"Aeron Chair's Era May Be Done as Apple Beats Path to New Seating
The Pacific, from British star designers Barber & Osgerby, reveals a changing Silicon Valley."
"482",2017-12-07,"Apple Suppliers Fall After Largan Precision Warns About Sales"
"483",2017-12-08,"Bitcoin Craze Propels Coinbase App to No. 1 in Apple's Store"
"484",2017-12-09,"Apple's Ive Regains Management of Design Team After 2 Years"
"485",2017-12-09,"Apple's Ive Retakes Management of Design Team (Video)"
"486",2017-12-12,"Apple and Wal-Mart Are Helping China Crack Down on Polluters"
"487",2017-12-12,"Apple Buys Early iPhone App Hit Shazam to Boost Apple Music"
"488",2017-12-13,"Apple Backs Finisar With $390 Million for Face ID Technology (1)"
"489",2017-12-13,"Bought Apple Stock in 1980? Held It? Don't Brag: Joe Nocera
An investor who purchased at the IPO price is rich today. But nobody can say they saw it coming."
"490",2017-12-14,"Tencent Fends Off Spotify, Apple in China's Battle for the Bands"
"491",2017-12-15,"Apple Shoppers Prefer Cheaper Models Over IPhone X, Analyst Says"
"492",2017-12-16,"Samsung Is Said to Plan February S9 Reveal on Heels of IPhone X"
"493",2017-12-19,"Apple Applies iPhone Mold to a Speaker Meant to Break It: Gadfly
If the company is serious about reinvention, this isn't it."
"494",2017-12-19,"Apple Gets a Rare Downgrade After Rising More Than 50% in 2017"
"495",2017-12-19,"Apple Gets Rare Cut; Nomura Instinet Sees Gains in Late Innings"
"496",2017-12-20,"Apple Is Said to Have Plan to Combine IPhone, IPad and Mac Apps"
"497",2017-12-21,"Apple Should Take iBundles Out for Spin Over Holidays: Gadfly
Tim Cook wants to move away from dependence on shiny new iPhones, but are the company's internet services
good enough?"
"498",2017-12-22,"Apple Is Said to Develop EKG Heart Monitor for Future Watch (1)"
"499",2017-12-22,"China Has Its Own Apple Launch That's Nothing to Do With IPhones"
"500",2017-12-23,"Apple Guru Munster Doesn't See IPhone Conspiracy (Video)"
"501",2017-12-23,"Apple's IPhone Slowdowns Spur Customers to Hurry to Court"
"502",2017-12-24,"BARRON'S ROUNDUP: $1 Trillion Apple; Beware Bitcoin; PG&E Upside"
"503",2017-12-25,"Analysts Cut IPhone X Shipment Forecasts, Citing Lukewarm Demand"
"504",2017-12-26,"Apple and Suppliers Fall After Analysts Cut IPhone X Estimates"
"505",2017-12-27,"Apple Drags Down Tech Shares as Oil Rises Past $59: Markets Wrap"
"506",2017-12-27,"Munster Calls Lower iPhone X Projections 'Normal' (Video)"
"507",2017-12-28,"Apple CEO Cook Gets 74% Bonus Boost After Earnings Rebound (1)"
"508",2017-12-29,"Apple Apologizes for IPhone Speed Cuts to Prevent Crashing (1)"
"509",2017-12-29,"Apple Isn't Only Tech Giant Eyeing $1 Trillion Valuation: MKM"
"510",2017-12-30,"GBH's Ives Thinks Apple Has Contained PR Damage (Video)"
"511",2017-12-30,"What Apple's Apology Implies About Product Pipeline (Video)"
"512",2018-01-04,"Apple Battery Replacement May Mean 16 Million Fewer IPhones Sold"
"513",2018-01-05,"All About That Big Chip Security Weakness: QuickTake Q&A"
"514",2018-01-05,"Apple Effort to Make Amends Is Bad for iPhone Business: Gadfly
If people keep holding onto old iPhones, it could end up looking like the waning PC industry."
"515",2018-01-05,"Apple Music's Jimmy Iovine Is Said to Plan Departure in August"
"516",2018-01-05,"Apple Says All Mac, iOS devices Affected by Chip Security Issue"
"517",2018-01-05,"Apple Says All Macs, IPhones, IPads Exposed to Chip Flaw"
"518",2018-01-05,"Spotify Tempts Investors With Report of 70 Million Subscribers"
"519",2018-01-08,"Apple Shows Tech Reckoning Spreads as Moneybags Join In: Gadfly
The company is urged to study the use of phones on children's mental health, and the rest of the industry better
check its pulse."
"520",2018-01-08,"Jana, Calstrs Push Apple to Study IPhone Addiction in Kids (2)"
"521",2018-01-09,"Apple Probed as French Customers Say IPhones Are Designed to Die"
"522",2018-01-09,"Samsung Disappoints as iPhone Screens Prove No Match for The Won"
"523",2018-01-11,"Apple iPhone Recycler Is Said to Attract Bain, Silver Lake (1)"
"524",2018-01-11,"Apple Seen Getting Possible $4 Billion Boost From Tax-Law Quirk"
"525",2018-01-11,"Apple Shouldn't Keep This Key Financial Metric to Itself: Gadfly
The company used to say how many iPhone customers returned, but it doesn't anymore. Pity."
"526",2018-01-16,"Workers at Apple Supplier Catcher Describe Harsh Conditions"
"527",2018-01-17,"Apple Gets a Downgrade and a New Street-High Target on Same Day"
"528",2018-01-18,"Apple Expects $38 Billion Tax Bill on Overseas Repatriated Cash"
"529",2018-01-18,"Apple Is Said to Give Employees $2,500 Bonuses After New Tax Law"
"530",2018-01-18,"*APPLE SEES REPATRIATION OF TAX PAYMENTS OF ABOUT $38B"
"531",2018-01-18,"Apple Sees Repatriation Tax Payments of About $38B"
"532",2018-01-18,"Apple's $38 Billion U.S. Taxes Don't Change Irish Bill, EU Says"
"533",2018-01-18,"Here's What Wall Street Thinks of Apple's Cash Repatriation Plan"
"534",2018-01-19,"Jana's Jab at Apple Seen as Strategy to Reverse Shrinking Assets"
"535",2018-01-19,"Key Analyst Cuts iPhone X Estimates, Sees Production End in 2018"
"536",2018-01-19,"Trump Says He Called Apple's Cook to Thank Him for Investments"
"537",2018-01-19,"Trump Says He Called Tim Cook to Thank Him on Apple Announcement"
"538",2018-01-20,"Apple Brings on Team From Consultant Silicon Valley Data Science"
"539",2018-01-20,"What Analyst Cut to IPhone X Estimates Means for Apple (Video)
(Bloomberg) -- "
"540",2018-01-21,"BARRON'S ROUNDUP: Apple & Netflix?; Boeing Takeoff; Digging Gold"
"541",2018-01-24,"Apple Says Health Records, New Battery Features Coming to IPhone"
"542",2018-01-24,"Qualcomm Gets $1.2 Billion EU Fine for Apple Chip Payments (1)"
"543",2018-01-24,"Sony Falls as JPMorgan Questions Bull Case for Image Sensors (1)"
"544",2018-01-25,"Apple Is Poised to Gain Even as Broadcom Takes Over Supply Chain"
"545",2018-01-25,"Apple's $38 Billion Tax Bill? The Company Has Eight Years to Pay"
"546",2018-01-26,"An Apple Bull Sees Potential $8 Billion Revenue Guidance Whiff"
"547",2018-01-30,"Apple Drops 2.6% as Nikkei Report Deepens iPhone X Demand Fear"
"548",2018-01-30,"Apple IPhone X Price Too High for Mass Adoption: Deutsche Bank"
"549",2018-01-30,"Apple Is Said to Push Back Some Key IPhone Software Features"
"550",2018-01-30,"Apple's iPad Media Experiment Cost Its Partners Years: Gadfly
The iPhone maker took newspaper and magazine companies on a detour to a boondoggle."
"551",2018-01-30,"Google Bets $1.1 Billion More Brains Can Help Take On Apple (1)"
"552",2018-01-31,"Apple Cut at BMO, With IPhone Seen `Hitting a Plateau'"
"553",2018-01-31,"Apple’s IPhone X Super Cycle in Doubt as Earnings Approach"
"554",2018-01-31,"Tech Earnings Preview: Giants Post Growth While Threats Loom (1)"
"555",2018-01-31,"U.S. Said to Probe Apple on Updates That Slow Older IPhones (1)"
"556",2018-02-01,"It won’t happen, but if it did: which company would sell for more, Amazon.com Inc. or Apple Inc.? While shares of
the iPhone maker fetch a higher value in the stock market, its overall worth just fell behind the online retailer based
on a measure known as enterprise value. The gauge, which determines a company’s takeover price by adding
debt and subtracting cash from its market capitalization, shows Amazon at $723 billion and Apple at $696 billion.
About $270 billion of balance-sheet cash lowers Apple’s total by this math."
"557",2018-02-01,"Apple Is Responding to Government Probe Into IPhone Slowdowns"
"558",2018-02-01,"IPhone X Puts Apple in Crosshairs of Nervous Tech Investors"
"559",2018-02-01,"Mnuchin Met With Apple's Cook Before First Tax Plan Release (1)"
"560",2018-02-02,"Apple Forecast Falls Short as IPhone Sales Miss Estimates"
"561",2018-02-02,"Apple Investors Don't Need to Hit the Panic Button Yet: Gadfly
Sure, iPhone sales are disappointing, but it's not all doom and gloom."
